Index,Region,time,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5
3,White,3,3846,3839,3855,3853,3834
4,White,4,3875,3867,3879,3875,3857
5,White,5,3866,3859,3871,3867,3848
6,White,6,3865,3858,3871,3867,3848
7,White,7,3858,3851,3865,3861,3841
8,White,8,3859,3852,3866,3860,3841
9,White,9,3858,3853,3867,3861,3841
10,White,10,3857,3852,3866,3860,3839
11,White,11,3859,3854,3867,3861,3841
12,White,12,3859,3854,3867,3861,3841
13,White,13,3859,3855,3865,3863,3842
14,White,14,3859,3848,3865,3861,3841
15,White,15,3859,3846,3866,3860,3842
16,White,16,3859,3852,3867,3859,3843
17,White,17,3858,3851,3866,3859,3839
18,White,18,3859,3851,3866,3860,3839
19,White,19,3858,3858,3867,3861,3841
20,White,20,3856,3854,3868,3859,3842
21,White,21,3859,3853,3867,3861,3843
22,White,22,3859,3855,3867,3860,3841
23,White,23,3859,3855,3867,3863,3839
24,White,24,3859,3853,3867,3861,3842
25,White,25,3859,3853,3867,3861,3837
26,White,26,3859,3851,3867,3861,3844
27,White,27,3859,3853,3866,3860,3842
28,White,28,3859,3853,3866,3861,3842
29,White,29,3859,3853,3867,3862,3839
30,White,30,3858,3851,3866,3859,3841
31,White,31,3859,3849,3866,3860,3841
32,White,32,3859,3854,3865,3861,3842
33,White,33,3859,3853,3866,3859,3843
34,White,34,3858,3855,3867,3860,3843
35,White,35,3859,3855,3866,3861,3842
36,White,36,3858,3852,3867,3860,3842
37,White,37,3859,3851,3865,3859,3842
38,White,38,3859,3853,3867,3860,3842
39,White,39,3859,3853,3866,3861,3841
40,White,40,3861,3854,3867,3861,3842
41,White,41,3859,3851,3867,3861,3842
42,White,42,3859,3852,3867,3860,3843
43,White,43,3861,3851,3865,3862,3841
44,White,44,3858,3851,3866,3859,3842
45,White,45,3859,3853,3867,3860,3842
46,White,46,3859,3855,3867,3863,3840
47,White,47,3860,3853,3866,3860,3843
48,White,48,3859,3853,3866,3861,3840
49,White,49,3859,3855,3868,3862,3840
50,White,50,3862,3854,3866,3862,3840
51,White,51,3859,3854,3866,3861,3839
52,White,52,3859,3853,3867,3861,3839
53,White,53,3860,3853,3867,3861,3839
54,White,54,3859,3854,3865,3860,3839
55,White,55,3860,3854,3867,3861,3839
56,White,56,3859,3853,3867,3861,3841
57,White,57,3859,3853,3867,3860,3839
58,White,58,3860,3853,3866,3860,3843
59,White,59,3855,3854,3866,3861,3842
60,White,60,3860,3851,3868,3861,3843
61,White,61,3860,3853,3867,3860,3843
62,White,62,3859,3853,3867,3861,3845
63,White,63,3859,3855,3868,3861,3843
64,White,64,3859,3855,3866,3861,3841
65,White,65,3860,3854,3866,3862,3843
66,White,66,3859,3853,3866,3862,3843
67,White,67,3860,3853,3866,3862,3839
68,White,68,3855,3853,3865,3860,3842
69,White,69,3859,3854,3867,3862,3841
70,White,70,3858,3855,3865,3861,3839
71,White,71,3861,3853,3867,3861,3842
72,White,72,3860,3853,3867,3855,3843
73,White,73,3861,3855,3866,3861,3839
74,White,74,3858,3852,3867,3864,3843
75,White,75,3859,3853,3867,3863,3842
76,White,76,3859,3853,3866,3862,3842
77,White,77,3859,3852,3866,3862,3839
78,White,78,3859,3854,3867,3861,3842
79,White,79,3859,3853,3867,3863,3843
80,White,80,3859,3855,3869,3860,3839
81,White,81,3863,3854,3866,3864,3843
82,White,82,3860,3854,3867,3861,3843
83,White,83,3859,3852,3867,3861,3842
84,White,84,3860,3854,3869,3861,3839
85,White,85,3860,3853,3866,3855,3841
86,White,86,3855,3854,3867,3863,3842
87,White,87,3862,3853,3866,3863,3842
88,White,88,3861,3853,3867,3860,3839
89,White,89,3861,3854,3867,3869,3842
90,White,90,3862,3852,3866,3855,3839
91,White,91,3861,3853,3867,3863,3843
92,White,92,3859,3854,3867,3861,3842
93,White,93,3859,3852,3867,3862,3839
94,White,94,3857,3852,3866,3859,3843
95,White,95,3859,3853,3866,3857,3842
96,White,96,3858,3854,3866,3855,3842
97,White,97,3853,3855,3867,3861,3841
98,White,98,3858,3853,3866,3855,3842
99,White,99,3858,3854,3867,3855,3841
100,White,100,3858,3853,3867,3863,3839
102,20% Gray,102,3859,3853,3866,3859,3839
103,20% Gray,103,3859,3852,3865,3855,3839
104,20% Gray,104,3858,3854,3867,3864,3841
105,20% Gray,105,3860,3853,3867,3863,3842
106,20% Gray,106,3860,3853,3867,3860,3842
107,20% Gray,107,3863,3852,3865,3861,3841
108,20% Gray,108,3862,3852,3867,3860,3843
109,20% Gray,109,3861,3854,3867,3861,3842
110,20% Gray,110,3859,3853,3866,3859,3843
111,20% Gray,111,3859,3852,3867,3863,3839
112,20% Gray,112,3859,3855,3867,3860,3842
113,20% Gray,113,3860,3854,3867,3859,3842
114,20% Gray,114,3860,3853,3866,3860,3843
115,20% Gray,115,3861,3854,3867,3861,3842
116,20% Gray,116,3858,3854,3866,3861,3843
117,20% Gray,117,3859,3852,3867,3862,3842
118,20% Gray,118,3857,3855,3867,3863,3843
119,20% Gray,119,3859,3853,3867,3862,3842
120,20% Gray,120,3859,3854,3868,3861,3843
121,20% Gray,121,3859,3855,3859,3862,3841
122,20% Gray,122,3861,3853,3866,3861,3842
123,20% Gray,123,3861,3853,3866,3861,3841
124,20% Gray,124,3862,3854,3867,3860,3842
125,20% Gray,125,3860,3854,3867,3860,3842
126,20% Gray,126,3861,3855,3867,3861,3842
127,20% Gray,127,3861,3855,3867,3860,3842
128,20% Gray,128,3859,3853,3866,3861,3839
129,20% Gray,129,3859,3855,3868,3862,3842
130,20% Gray,130,3859,3855,3865,3861,3841
131,20% Gray,131,3860,3855,3867,3861,3839
132,20% Gray,132,3859,3853,3867,3861,3842
133,20% Gray,133,3860,3855,3867,3862,3842
134,20% Gray,134,3858,3853,3866,3861,3841
135,20% Gray,135,3860,3852,3868,3861,3843
136,20% Gray,136,3860,3853,3871,3861,3842
137,20% Gray,137,3859,3855,3868,3863,3842
138,20% Gray,138,3859,3854,3868,3862,3843
139,20% Gray,139,3860,3854,3865,3862,3842
140,20% Gray,140,3859,3854,3867,3860,3843
141,20% Gray,141,3860,3855,3865,3860,3842
142,20% Gray,142,3859,3853,3866,3860,3841
143,20% Gray,143,3860,3854,3866,3860,3842
144,20% Gray,144,3859,3854,3866,3860,3843
145,20% Gray,145,3859,3853,3867,3862,3839
146,20% Gray,146,3859,3854,3867,3861,3841
147,20% Gray,147,3861,3855,3867,3860,3839
148,20% Gray,148,3860,3853,3868,3861,3843
149,20% Gray,149,3859,3854,3867,3861,3842
150,20% Gray,150,3859,3854,3867,3862,3841
151,20% Gray,151,3861,3851,3867,3861,3843
152,20% Gray,152,3860,3854,3867,3861,3842
153,20% Gray,153,3859,3854,3868,3861,3842
154,20% Gray,154,3859,3854,3866,3862,3843
155,20% Gray,155,3861,3853,3865,3862,3843
156,20% Gray,156,3859,3853,3870,3860,3839
157,20% Gray,157,3858,3855,3866,3860,3839
158,20% Gray,158,3859,3854,3868,3860,3842
159,20% Gray,159,3860,3854,3867,3860,3842
160,20% Gray,160,3859,3854,3867,3861,3842
161,20% Gray,161,3858,3854,3864,3861,3839
162,20% Gray,162,3859,3854,3867,3862,3842
163,20% Gray,163,3860,3854,3860,3862,3842
164,20% Gray,164,3859,3855,3864,3861,3839
165,20% Gray,165,3860,3853,3865,3862,3843
166,20% Gray,166,3859,3854,3865,3862,3842
167,20% Gray,167,3869,3863,3872,3867,3849
168,20% Gray,168,3869,3861,3875,3868,3848
169,20% Gray,169,3865,3859,3871,3862,3842
170,20% Gray,170,3859,3855,3868,3861,3842
171,20% Gray,171,3811,3819,3839,3836,3813
172,20% Gray,172,3742,3775,3789,3784,3069
173,20% Gray,173,3813,3807,3821,3814,3679
174,20% Gray,174,3860,3848,3861,3853,3831
175,20% Gray,175,3871,3864,3879,3877,3861
176,20% Gray,176,3868,3859,3875,3870,3855
177,20% Gray,177,3865,3855,3881,3867,3851
178,20% Gray,178,3857,3848,3864,3860,3843
179,20% Gray,179,3858,3850,3863,3861,3843
180,20% Gray,180,3853,3847,3861,3860,3844
181,20% Gray,181,3853,3847,3863,3859,3844
182,20% Gray,182,3852,3845,3862,3859,3842
