time,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5
0,3853,3855,3874,3869,3850
1,2936,3448,3523,3485,2422
2,3835,3834,3852,3847,3828
3,3846,3839,3855,3853,3834
4,3875,3867,3879,3875,3857
5,3866,3859,3871,3867,3848
6,3865,3858,3871,3867,3848
7,3858,3851,3865,3861,3841
8,3859,3852,3866,3860,3841
9,3858,3853,3867,3861,3841
10,3857,3852,3866,3860,3839
11,3859,3854,3867,3861,3841
12,3859,3854,3867,3861,3841
13,3859,3855,3865,3863,3842
14,3859,3848,3865,3861,3841
15,3859,3846,3866,3860,3842
16,3859,3852,3867,3859,3843
17,3858,3851,3866,3859,3839
18,3859,3851,3866,3860,3839
19,3858,3858,3867,3861,3841
20,3856,3854,3868,3859,3842
21,3859,3853,3867,3861,3843
22,3859,3855,3867,3860,3841
23,3859,3855,3867,3863,3839
24,3859,3853,3867,3861,3842
25,3859,3853,3867,3861,3837
26,3859,3851,3867,3861,3844
27,3859,3853,3866,3860,3842
28,3859,3853,3866,3861,3842
29,3859,3853,3867,3862,3839
30,3858,3851,3866,3859,3841
31,3859,3849,3866,3860,3841
32,3859,3854,3865,3861,3842
33,3859,3853,3866,3859,3843
34,3858,3855,3867,3860,3843
35,3859,3855,3866,3861,3842
36,3858,3852,3867,3860,3842
37,3859,3851,3865,3859,3842
38,3859,3853,3867,3860,3842
39,3859,3853,3866,3861,3841
40,3861,3854,3867,3861,3842
41,3859,3851,3867,3861,3842
42,3859,3852,3867,3860,3843
43,3861,3851,3865,3862,3841
44,3858,3851,3866,3859,3842
45,3859,3853,3867,3860,3842
46,3859,3855,3867,3863,3840
47,3860,3853,3866,3860,3843
48,3859,3853,3866,3861,3840
49,3859,3855,3868,3862,3840
50,3862,3854,3866,3862,3840
51,3859,3854,3866,3861,3839
52,3859,3853,3867,3861,3839
53,3860,3853,3867,3861,3839
54,3859,3854,3865,3860,3839
55,3860,3854,3867,3861,3839
56,3859,3853,3867,3861,3841
57,3859,3853,3867,3860,3839
58,3860,3853,3866,3860,3843
59,3855,3854,3866,3861,3842
60,3860,3851,3868,3861,3843
61,3860,3853,3867,3860,3843
62,3859,3853,3867,3861,3845
63,3859,3855,3868,3861,3843
64,3859,3855,3866,3861,3841
65,3860,3854,3866,3862,3843
66,3859,3853,3866,3862,3843
67,3860,3853,3866,3862,3839
68,3855,3853,3865,3860,3842
69,3859,3854,3867,3862,3841
70,3858,3855,3865,3861,3839
71,3861,3853,3867,3861,3842
72,3860,3853,3867,3855,3843
73,3861,3855,3866,3861,3839
74,3858,3852,3867,3864,3843
75,3859,3853,3867,3863,3842
76,3859,3853,3866,3862,3842
77,3859,3852,3866,3862,3839
78,3859,3854,3867,3861,3842
79,3859,3853,3867,3863,3843
80,3859,3855,3869,3860,3839
81,3863,3854,3866,3864,3843
82,3860,3854,3867,3861,3843
83,3859,3852,3867,3861,3842
84,3860,3854,3869,3861,3839
85,3860,3853,3866,3855,3841
86,3855,3854,3867,3863,3842
87,3862,3853,3866,3863,3842
88,3861,3853,3867,3860,3839
89,3861,3854,3867,3869,3842
90,3862,3852,3866,3855,3839
91,3861,3853,3867,3863,3843
92,3859,3854,3867,3861,3842
93,3859,3852,3867,3862,3839
94,3857,3852,3866,3859,3843
95,3859,3853,3866,3857,3842
96,3858,3854,3866,3855,3842
97,3853,3855,3867,3861,3841
98,3858,3853,3866,3855,3842
99,3858,3854,3867,3855,3841
100,3858,3853,3867,3863,3839
101,3860,3854,3868,3861,3843
102,3859,3853,3866,3859,3839
103,3859,3852,3865,3855,3839
104,3858,3854,3867,3864,3841
105,3860,3853,3867,3863,3842
106,3860,3853,3867,3860,3842
107,3863,3852,3865,3861,3841
108,3862,3852,3867,3860,3843
109,3861,3854,3867,3861,3842
110,3859,3853,3866,3859,3843
111,3859,3852,3867,3863,3839
112,3859,3855,3867,3860,3842
113,3860,3854,3867,3859,3842
114,3860,3853,3866,3860,3843
115,3861,3854,3867,3861,3842
116,3858,3854,3866,3861,3843
117,3859,3852,3867,3862,3842
118,3857,3855,3867,3863,3843
119,3859,3853,3867,3862,3842
120,3859,3854,3868,3861,3843
121,3859,3855,3859,3862,3841
122,3861,3853,3866,3861,3842
123,3861,3853,3866,3861,3841
124,3862,3854,3867,3860,3842
125,3860,3854,3867,3860,3842
126,3861,3855,3867,3861,3842
127,3861,3855,3867,3860,3842
128,3859,3853,3866,3861,3839
129,3859,3855,3868,3862,3842
130,3859,3855,3865,3861,3841
131,3860,3855,3867,3861,3839
132,3859,3853,3867,3861,3842
133,3860,3855,3867,3862,3842
134,3858,3853,3866,3861,3841
135,3860,3852,3868,3861,3843
136,3860,3853,3871,3861,3842
137,3859,3855,3868,3863,3842
138,3859,3854,3868,3862,3843
139,3860,3854,3865,3862,3842
140,3859,3854,3867,3860,3843
141,3860,3855,3865,3860,3842
142,3859,3853,3866,3860,3841
143,3860,3854,3866,3860,3842
144,3859,3854,3866,3860,3843
145,3859,3853,3867,3862,3839
146,3859,3854,3867,3861,3841
147,3861,3855,3867,3860,3839
148,3860,3853,3868,3861,3843
149,3859,3854,3867,3861,3842
150,3859,3854,3867,3862,3841
151,3861,3851,3867,3861,3843
152,3860,3854,3867,3861,3842
153,3859,3854,3868,3861,3842
154,3859,3854,3866,3862,3843
155,3861,3853,3865,3862,3843
156,3859,3853,3870,3860,3839
157,3858,3855,3866,3860,3839
158,3859,3854,3868,3860,3842
159,3860,3854,3867,3860,3842
160,3859,3854,3867,3861,3842
161,3858,3854,3864,3861,3839
162,3859,3854,3867,3862,3842
163,3860,3854,3860,3862,3842
164,3859,3855,3864,3861,3839
165,3860,3853,3865,3862,3843
166,3859,3854,3865,3862,3842
167,3869,3863,3872,3867,3849
168,3869,3861,3875,3868,3848
169,3865,3859,3871,3862,3842
170,3859,3855,3868,3861,3842
171,3811,3819,3839,3836,3813
172,3742,3775,3789,3784,3069
173,3813,3807,3821,3814,3679
174,3860,3848,3861,3853,3831
175,3871,3864,3879,3877,3861
176,3868,3859,3875,3870,3855
177,3865,3855,3881,3867,3851
178,3857,3848,3864,3860,3843
179,3858,3850,3863,3861,3843
