Intensity,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5
1,3833,3831,3847,3841,3811
1,3855,3851,3862,3859,3835
1,3891,3883,3897,3895,3879
1,3892,3882,3897,3892,3874
1,3887,3883,3898,3893,3877
1,3895,3885,3903,3897,3881
1,3886,3877,3892,3887,3871
1,3864,3855,3871,3867,3849
1,3862,3855,3870,3866,3849
1,3861,3853,3871,3866,3851
1,3862,3855,3871,3865,3847
1,3861,3855,3870,3868,3848
1,3861,3855,3871,3865,3845
1,3862,3855,3871,3864,3849
1,3862,3855,3871,3865,3846
1,3863,3855,3869,3865,3848
1,3862,3855,3870,3865,3848
1,3861,3855,3871,3866,3849
1,3863,3855,3870,3866,3847
1,3863,3855,3871,3864,3847
1,3861,3855,3869,3866,3847
1,3861,3858,3871,3865,3848
1,3862,3855,3870,3866,3848
1,3863,3854,3868,3865,3848
1,3861,3858,3871,3865,3848
1,3866,3855,3871,3867,3848
1,3862,3855,3871,3866,3848
1,3863,3855,3870,3866,3846
1,3865,3855,3866,3867,3847
1,3863,3855,3871,3866,3847
1,3871,3855,3869,3865,3848
1,3861,3855,3870,3864,3847
1,3863,3849,3870,3866,3848
1,3863,3855,3870,3865,3847
1,3862,3855,3869,3866,3846
1,3863,3855,3871,3867,3849
1,3858,3855,3870,3867,3848
1,3864,3855,3871,3865,3848
1,3863,3855,3871,3865,3848
1,3860,3855,3871,3865,3846
1,3862,3855,3870,3866,3847
1,3871,3865,3879,3875,3858
0.8,3825,3823,3843,3837,3807
0.8,3877,3866,3881,3879,3867
0.8,3876,3868,3883,3879,3863
0.8,3860,3854,3870,3862,3846
0.8,3861,3853,3870,3865,3848
0.8,3861,3853,3868,3859,3848
0.8,3860,3853,3867,3864,3847
0.8,3861,3861,3869,3865,3850
0.8,3861,3853,3867,3864,3848
0.8,3862,3853,3868,3865,3848
0.8,3863,3854,3867,3864,3847
0.8,3864,3852,3868,3865,3848
0.8,3865,3853,3868,3865,3849
0.8,3862,3853,3867,3865,3847
0.8,3861,3854,3868,3865,3847
0.8,3862,3853,3868,3865,3848
0.8,3861,3855,3868,3866,3849
0.8,3860,3854,3868,3864,3847
0.8,3862,3853,3868,3865,3847
0.8,3861,3853,3868,3865,3848
0.8,3862,3853,3868,3864,3848
0.8,3861,3853,3870,3863,3847
0.8,3861,3854,3867,3865,3847
0.8,3861,3854,3868,3865,3849
0.8,3861,3853,3867,3865,3848
0.8,3863,3852,3865,3865,3847
0.8,3861,3855,3866,3864,3847
0.8,3861,3853,3868,3864,3848
0.8,3863,3853,3871,3863,3849
0.8,3862,3855,3869,3865,3848
0.8,3862,3854,3867,3865,3851
0.8,3861,3854,3868,3864,3848
0.8,3861,3853,3867,3864,3848
0.8,3863,3854,3871,3865,3848
0.8,3861,3853,3867,3867,3849
0.8,3863,3853,3868,3865,3848
0.8,3861,3850,3869,3865,3847
0.8,3862,3853,3867,3865,3849
0.8,3860,3854,3860,3864,3849
0.8,3861,3853,3863,3864,3849
0.8,3861,3853,3867,3865,3849
0.8,3862,3855,3868,3865,3848
0.8,3861,3854,3867,3865,3849
0.8,3861,3855,3867,3864,3848
0.8,3863,3852,3867,3865,3849
0.8,3863,3853,3868,3865,3849
0.8,3863,3853,3867,3864,3847
0.6,3592,3770,3787,3772,2865
0.6,3876,3875,3890,3882,3863
0.6,3875,3874,3890,3881,3866
0.6,3870,3869,3883,3878,3857
0.6,3854,3860,3874,3866,3847
0.6,3857,3855,3875,3868,3845
0.6,3855,3860,3875,3867,3849
0.6,3858,3859,3873,3866,3847
0.6,3859,3860,3875,3866,3846
0.6,3857,3858,3875,3863,3848
0.6,3859,3855,3875,3868,3846
0.6,3859,3860,3875,3867,3848
0.6,3859,3861,3874,3867,3847
0.6,3859,3859,3873,3866,3847
0.6,3858,3858,3873,3868,3845
0.6,3859,3859,3874,3858,3847
0.6,3859,3858,3875,3867,3847
0.6,3858,3858,3874,3868,3847
0.6,3858,3859,3875,3867,3848
0.6,3857,3860,3874,3866,3847
0.6,3858,3859,3877,3867,3847
0.6,3859,3858,3873,3867,3848
0.6,3859,3859,3873,3867,3847
0.6,3858,3858,3875,3868,3847
0.6,3857,3855,3875,3867,3847
0.6,3858,3860,3875,3866,3846
0.6,3859,3859,3875,3867,3847
0.6,3857,3859,3875,3861,3847
0.6,3859,3859,3874,3867,3847
0.6,3859,3858,3871,3868,3848
0.6,3858,3859,3874,3867,3847
0.6,3858,3859,3875,3867,3846
0.6,3859,3855,3874,3869,3847
0.6,3851,3855,3874,3868,3846
0.6,3855,3859,3874,3867,3849
0.6,3858,3859,3874,3867,3847
0.6,3859,3859,3874,3867,3847
0.6,3857,3855,3873,3868,3847
0.6,3859,3859,3874,3868,3847
0.6,3859,3859,3874,3866,3847
0.6,3857,3855,3874,3868,3845
0.6,3858,3859,3875,3867,3851
0.6,3858,3859,3875,3866,3848
0.6,3855,3859,3873,3868,3848
0.6,3859,3859,3875,3867,3848
0.6,3859,3859,3874,3866,3847
0.6,3860,3861,3875,3868,3846
0.6,2846,3564,3769,3782,3211
0.6,486,514,510,510,483
0.6,501,528,525,530,491
0.6,501,527,525,530,494
0.6,633,682,672,703,603
0.6,1626,1838,1819,1793,1291
0.6,3826,3786,3802,3787,3348
0.6,3839,3823,3846,3842,3821
0.6,3823,3817,3838,3831,3805
0.6,3829,3821,3839,3836,3813
0.6,3839,3831,3851,3846,3823
0.6,3822,3815,3836,3830,3807
0.6,3819,3815,3836,3829,3806
0.6,3821,3815,3836,3830,3807
0.6,3821,3816,3836,3830,3807
0.6,3818,3815,3835,3831,3804
0.6,3820,3815,3835,3828,3802
0.6,3822,3819,3836,3830,3807
0.6,3818,3812,3833,3827,3802
0.6,3818,3814,3835,3827,3801
0.6,3820,3816,3835,3830,3805
0.6,3828,3815,3836,3830,3806
0.6,3823,3815,3836,3830,3806
0.6,3821,3815,3837,3830,3806
0.6,3821,3815,3834,3830,3807
0.6,3822,3815,3835,3831,3806
0.6,3821,3815,3836,3830,3806
0.6,3822,3813,3837,3827,3806
0.6,3820,3815,3837,3831,3807
0.6,3822,3816,3837,3831,3807
0.6,3822,3815,3837,3830,3807
0.6,3822,3815,3836,3830,3807
0.6,3820,3815,3835,3829,3806
0.6,3823,3816,3836,3823,3807
0.6,3823,3817,3837,3831,3804
0.6,3822,3818,3835,3831,3807
0.6,3822,3815,3837,3830,3807
0.6,3821,3814,3838,3829,3806
0.6,3823,3815,3835,3830,3807
0.6,3834,3816,3835,3831,3806
0.6,3821,3816,3836,3830,3806
0.6,3821,3815,3835,3830,3806
0.6,3821,3813,3835,3829,3804
0.6,3821,3815,3836,3831,3807
0.6,3822,3817,3836,3832,3806
0.6,3822,3810,3834,3830,3806
0.4,3495,3400,3742,3526,2995
0.4,3663,3290,3689,3587,3077
0.4,3291,2935,3411,3256,2668
0.4,3618,3107,3480,3279,2685
0.4,3629,3116,3491,3284,2685
0.4,3631,3117,3489,3279,2682
0.4,3625,3114,3483,3278,2682
0.4,3628,3116,3486,3278,2681
0.4,3635,3119,3491,3282,2682
0.4,3634,3119,3490,3279,2680
0.4,3629,3114,3483,3276,2678
0.4,3627,3114,3483,3274,2677
0.4,3631,3119,3489,3279,2679
0.4,3630,3119,3486,3275,2678
0.4,3626,3114,3481,3274,2677
0.4,3629,3114,3483,3274,2679
0.4,3634,3118,3489,3279,2679
0.4,3642,3123,3495,3279,2681
0.4,3634,3119,3487,3276,2680
0.4,3635,3118,3487,3278,2678
0.4,3638,3124,3494,3281,2680
0.4,3635,3119,3491,3279,2679
0.4,3635,3123,3491,3279,2678
0.4,3641,3126,3497,3285,2681
0.4,3641,3127,3498,3283,2681
0.4,3637,3118,3491,3279,2682
0.4,3635,3119,3493,3279,2680
0.4,3643,3127,3499,3285,2681
0.4,3642,3126,3499,3284,2681
0.4,3639,3119,3492,3279,2680
0.4,3638,3119,3493,3279,2679
0.4,3641,3119,3495,3283,2680
0.4,3646,3125,3499,3287,2683
0.4,3639,3119,3495,3283,2679
0.4,3639,3119,3493,3279,2679
0.4,3644,3123,3496,3287,2682
0.4,3670,3140,3500,3285,2683
0.4,3669,3133,3503,3288,2683
0.4,3677,3142,3503,3290,2685
0.4,3682,3147,3509,3291,2686
0.4,3652,3112,3487,3263,2687
0.4,3627,3094,3447,3224,2676
0.4,3642,3206,3471,3227,2634
0.2,2421,1818,2537,2364,2107
0.2,2421,1812,2549,2364,2104
0.2,2421,1807,2543,2363,2103
0.2,2418,1811,2543,2363,2103
0.2,2418,1831,2542,2364,2106
0.2,2415,1823,2537,2363,2099
0.2,2417,1819,2526,2374,2106
0.2,2420,1827,2529,2378,2117
0.2,2492,1838,2593,2387,2126
0.2,2495,1845,2609,2376,2116
0.2,2467,1906,2813,2364,2122
0.2,2470,1917,2795,2366,2132
0.2,2687,1886,3023,2712,2493
0.2,2175,1869,2778,2276,2114
0.2,2284,1875,2796,2282,2119
0.2,2409,1866,2787,2285,2120
0.2,2389,1901,2849,2287,2137
0.2,2398,1883,2869,2290,2127
0.2,2425,1905,2943,2307,2140
0.2,2425,1908,2935,2308,2141
0.2,2431,1903,2921,2310,2139
0.2,2504,1883,2773,2326,2129
0.2,2580,1825,2656,2343,2116
0.2,2489,1878,2796,2318,2122
0.2,2475,1877,2804,2312,2119
0.2,2460,1877,2806,2307,2119
0.2,2464,1894,2787,2313,2132
0.2,2492,1875,2786,2321,2117
0.2,2553,1850,2717,2336,2115
0.2,2594,1835,2674,2361,2121
0.2,2605,1829,2653,2378,2129
0.2,2601,1833,2652,2373,2127
0.2,2603,1833,2655,2374,2127
0.2,2602,1832,2653,2373,2127
0.2,2599,1836,2653,2370,2127
0.2,2599,1837,2655,2367,2126
0.2,2600,1830,2657,2366,2123
0.2,2600,1832,2658,2365,2123
0.2,2602,1834,2660,2366,2129
0.2,2538,1806,2659,2357,2124
0.2,2472,1778,2667,2342,2121
0.2,2629,1763,2674,2344,2126
0.2,2610,1804,2738,2333,2119
0.2,2586,1572,2531,2310,2068
0,2558,1628,2553,2266,2078
0,2594,1633,2571,2309,2092
0,2589,1643,2577,2301,2091
0,2602,1639,2583,2304,2091
0,2570,1646,2597,2325,2101
0,2359,1863,2825,2573,2376
0,2027,1766,2589,2315,2234
0,2028,1769,2587,2315,2234
